"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3","100nF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","3",""
"D1,D2,D3,D4","LED_3mm","","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm","4",""
"D5,D6","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","2",""
"J1","AudioJack1","~","Connector_Audio:Jack_3.5mm_PJ320D_Horizontal","1",""
"J2","AudioJack2","~","footprints:PJ-307","1",""
"Q1","2N3904","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Package_TO_SOT_THT:TO-92_Inline","1",""
"R1,R4,R5,R6","1k","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","4",""
"R2,R3,RV1","10k","~","Potentiometer_THT:Potentiometer_Runtron_RM-063_Horizontal,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","3",""
"R7,R8","4.7K","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","2",""
"R9","R","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","1",""
"R10","100 Ohm","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","1",""
"SW1","SW_DIP_x04","~","Button_Switch_THT:SW_DIP_SPSTx04_Piano_CTS_Series194-4MSTN_W7.62mm_P2.54mm","1",""
"U1","Pico","","footprints:RPi_Pico_SMD_TH","1",""
